direction	pwm_name	bonferroni_p	affected_cases	total_cases
Positive	TEAD2_1_from_ETF_transfac_M00695.mlp	0.00012738605770846935	8	9
Negative	AHR::ARNT_3_from_Arnt::Ahr_jaspar_MA0006.1.mlp	1.6737342329412183e-39	9	9
Negative	FOXO1_3_from_FOXO1_jolma_DBD_M425.mlp	2.6316461406942503e-11	9	9
Negative	FOXI1_3_from_FOXI1_jolma_full_M414.mlp	1.8900049763735512e-08	8	9
Negative	FOXO6_2_from_FOXO6_jolma_DBD_M435.mlp	3.28941174191941e-08	8	9
Negative	FOXK1_4_from_Foxk1_jolma_DBD_M448.mlp	1.727922972512547e-07	9	9
Negative	FOXG1_5_from_Foxg1_jolma_DBD_M442.mlp	2.9356254432840146e-07	8	9
Negative	TBX5_1_from_TBX5_transfac_M01019.mlp	4.3520541090299325e-07	8	9
Negative	FOXO4_4_from_FOXO4_jolma_DBD_M432.mlp	4.399984620102494e-07	8	9
Negative	FOXD3_4_from_FOXD3_jolma_DBD_M411.mlp	5.233477277657433e-06	8	9
Negative	FOXD2_2_from_FOXD2_jolma_DBD_M409.mlp	7.3633869459930005e-06	8	9
Negative	FOXL1_4_from_FOXL1_jolma_full_M423.mlp	8.905188155395739e-06	8	9
Negative	NR2E1_3_from_Nr2e1_jolma_DBD_M689.mlp	6.200808974855323e-05	8	9
Negative	GATA_known7_from_GATA_1_from_GATA-X_transfac_M00203.mlp	9.108750099040392e-05	7	9
Negative	TBX4_1_from_TBX4_jolma_DBD_M281.mlp	9.407225348794815e-05	8	9
Negative	FOXC2_1_from_FOXC2_jolma_DBD_M405.mlp	0.00019593616738732009	8	9
Negative	FOXD3_3_from_FOXD3_jolma_DBD_M410.mlp	0.0016293716199585698	8	9
Negative	OBOX1_1_from_Obox1_bulyk_cell08-3970.2.mlp	0.0025771174840512785	7	9
Negative	FOXD2_1_from_FOXD2_jolma_DBD_M408.mlp	0.0034714546266995123	8	9
Negative	NKX2-2_2_from_Nkx2-2_bulyk_cell08-2823.1.mlp	0.0039013890112661108	7	9
Negative	MYC_known4_from_USF_2_from_USF_transfac_M00122.mlp	0.003998692440235856	8	9
Negative	FOXO1_1_from_FOXO1_transfac_M00473.mlp	0.015253161098902955	8	9
Negative	ZEB1_known5_from_ZEB1_5_from_ZEB1_jaspar_MA0103.1.mlp	0.022452910731194348	8	9
Negative	ZBTB14_3_from_Zfp161_bulyk_sc09-primary.mlp	0.022779482108721556	6	9
